data,nave,sistema,desc,tecnico,ore_motore,costo_eur
2025-12-17,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,31677,476
2025-12-15,MV Maria Dolores,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio + controllo manicotti e guarnizioni (×6 motori),Tecnico RCS,108299,757
2025-12-14,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico esterno certificato,83651,825
2025-12-13,MV Jean de La Valette,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Tecnico RCS Mario Greco,83522,2577
2025-12-13,San Pawl,Filtrazione,Cambio Olio 500h — Cambio olio + filtri Deutz MWM — Fleetguard LF4056 (OEM 04294788) + FS1006 (×2 motori),Tecnico RCS Luigi Russo,100177,441
2025-12-12,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Cantiere Specializzato,31496,786
2025-12-12,MV Jean de La Valette,Propulsione,"Ispezione Propulsione — Controllo eliche, shaft seal, allineamento alberi, lubrificazione riduttori",Tecnico RCS,83490,1538
2025-12-05,MV Saint John Paul II,Raffreddamento,"Raffreddamento 2000h — Sostituzione termostato MTU, fluido refrigerante, pulizia heat exchanger",Tecnico RCS Luigi Russo,31264,872
2025-12-02,San Frangisk,Motore,"Ispezione 1000h — Ispezione completa: cinghie, manicotti, guarnizioni, valvole, analisi olio",Tecnico RCS Mario Greco,102286,764
2025-11-29,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,83191,566
2025-11-27,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,31099,603
2025-11-25,Balluta Bay,Filtrazione,Cambio Olio 2000h — Cambio olio + filtri Wärtsilä — Hifi SO 4562 (OEM 182B2040) + SN gasolio,Tecnico RCS,192508,909
2025-11-15,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,82837,483
2025-11-15,MV Jean de La Valette,Iniezione,"D-Check 4000h — Sostituzione iniettori CR Bosch (serie 0 445 120 141), revisione pompa HP, test bench",Cantiere Pozzallo,82809,6449
2025-11-14,MV Maria Dolores,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio + controllo manicotti e guarnizioni (×6 motori),Tecnico RCS,107717,689
2025-11-13,MV Saint John Paul II,Iniezione,"D-Check 4000h — Sostituzione iniettori CR Bosch (serie 0 445 120 141), revisione pompa HP, test bench",Cantiere Navale Palermo,30842,6754
2025-11-06,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico esterno certificato,30687,505
2025-11-05,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Cantiere Specializzato,30582,521
2025-11-04,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS Mario Greco,30521,873
2025-11-02,MV Maria Dolores,Raffreddamento,"Raffreddamento — Termostato MTU 11658815, fluido WF2071 Fleetguard, pulizia circuito",Tecnico RCS,107565,493
2025-10-29,MV Jean de La Valette,Raffreddamento,"Raffreddamento 2000h — Sostituzione termostato MTU, fluido refrigerante, pulizia heat exchanger",Tecnico RCS,82554,864
2025-10-23,Balluta Bay,Motore,"Major Overhaul — Overhaul completo Wärtsilä, pistoni, bronzine, albero a gomiti ispezione",Cantiere Navale Palermo,192204,61466
2025-10-22,MV Jean de La Valette,Propulsione,"Ispezione Propulsione — Controllo eliche, shaft seal, allineamento alberi, lubrificazione riduttori",Tecnico RCS Mario Greco,82337,1817
2025-10-17,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,30109,531
2025-10-14,HSC Gozo Express,Motore,"C-Check 2000h — Ispezione iniettori CR Bosch 0 445 120 059, controllo valvole e distribuzione",Tecnico RCS Mario Greco,95167,1190
2025-10-13,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS Mario Greco,107146,377
2025-10-06,San Frangisk,Filtrazione,Cambio Olio 500h — Cambio olio + filtri Deutz MWM — Fleetguard LF4056 (OEM 04294788) + FS1006 (×2 motori),Tecnico RCS,101844,438
2025-09-29,MV Saint John Paul II,Propulsione,"Ispezione Propulsione — Controllo eliche, shaft seal, allineamento alberi, lubrificazione riduttori",Tecnico RCS,29637,1816
2025-09-29,Balluta Bay,Filtrazione,Cambio Olio 2000h — Cambio olio + filtri Wärtsilä — Hifi SO 4562 (OEM 182B2040) + SN gasolio,Tecnico RCS,191986,847
2025-09-28,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Luigi Russo,81670,526
2025-09-25,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Mario Greco,81686,578
2025-09-24,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS,94883,282
2025-09-22,HSC Gozo Express,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubricante + verifica tenute (×4 motori),Tecnico RCS Mario Greco,94826,530
2025-09-18,San Frangisk,Iniezione,"Ispezione Iniettori — Controllo iniettori meccanici Bosch 0 430 232 056 (OEM 01174463), taratura pressione",Tecnico RCS,101721,3882
2025-09-15,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,29295,569
2025-09-13,MV Saint John Paul II,Raffreddamento,"Raffreddamento 2000h — Sostituzione termostato MTU, fluido refrigerante, pulizia heat exchanger",Tecnico RCS,29290,866
2025-09-11,MV Maria Dolores,Motore,"C-Check 2000h — Ispezione valvole, controllo iniettori UIS Bosch 0 414 701 076, regolazione giochi",Tecnico RCS,106669,1553
2025-09-09,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS,94680,231
2025-09-01,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico esterno certificato,29105,818
2025-08-31,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS Mario Greco,29035,796
2025-08-31,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS,94513,265
2025-08-30,HSC Gozo Express,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubricante + verifica tenute (×4 motori),Tecnico esterno certificato,94508,462
2025-08-27,MV Saint John Paul II,Raffreddamento,"Raffreddamento 2000h — Sostituzione termostato MTU, fluido refrigerante, pulizia heat exchanger",Tecnico esterno certificato,28958,829
2025-08-26,HSC Gozo Express,Motore,"C-Check 2000h — Ispezione iniettori CR Bosch 0 445 120 059, controllo valvole e distribuzione",Tecnico RCS,94447,1372
2025-08-25,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS,106396,390
2025-08-20,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,80758,583
2025-08-20,MV Maria Dolores,Propulsione,"Propulsione 6000h — Ispezione shaft seal, lubrificazione riduttori, allineamento eliche",Tecnico RCS,106248,1092
2025-08-14,San Pawl,Filtrazione,Cambio Olio 500h — Cambio olio + filtri Deutz MWM — Fleetguard LF4056 (OEM 04294788) + FS1006 (×2 motori),Tecnico RCS Luigi Russo,99241,390
2025-08-13,MV Saint John Paul II,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Tecnico RCS Luigi Russo,28516,2548
2025-08-11,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico esterno certificato,80516,935
2025-08-11,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS,94222,225
2025-08-10,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS Mario Greco,94219,229
2025-08-05,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS Mario Greco,80404,999
2025-07-30,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS Mario Greco,80355,962
2025-07-29,MV Jean de La Valette,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Tecnico RCS,80308,2085
2025-07-27,HSC Gozo Express,Iniezione,"D-Check 4000h — Sostituzione iniettori CR MTU 12V 2000, revisione pompa HP, test banco",Tecnico RCS,94052,4102
2025-07-26,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS Luigi Russo,105855,360
2025-07-26,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS,105868,438
2025-07-23,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,28140,548
2025-07-21,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Luigi Russo,28032,522
2025-07-20,HSC Gozo Express,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubricante + verifica tenute (×4 motori),Tecnico RCS,93893,437
2025-07-20,San Pawl,Filtrazione,Cambio Olio 500h — Cambio olio + filtri Deutz MWM — Fleetguard LF4056 (OEM 04294788) + FS1006 (×2 motori),Tecnico RCS Luigi Russo,99052,453
2025-07-19,MV Jean de La Valette,Motore,"Overhaul 8000h — Revisione completa top-end: pistoni, segmenti, bronzine, albero a camme, tenute",Cantiere Pozzallo,80030,31499
2025-07-12,MV Jean de La Valette,Raffreddamento,"Raffreddamento 2000h — Sostituzione termostato MTU, fluido refrigerante, pulizia heat exchanger",Tecnico RCS,79919,746
2025-07-09,HSC Gozo Express,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubricante + verifica tenute (×4 motori),Tecnico RCS,93737,435
2025-07-09,San Frangisk,Filtrazione,Cambio Olio 500h — Cambio olio + filtri Deutz MWM — Fleetguard LF4056 (OEM 04294788) + FS1006 (×2 motori),Tecnico RCS,101118,363
2025-07-06,MV Saint John Paul II,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Tecnico RCS Mario Greco,27675,2123
2025-07-06,MV Jean de La Valette,Iniezione,"D-Check 4000h — Sostituzione iniettori CR Bosch (serie 0 445 120 141), revisione pompa HP, test bench",Cantiere Navale Palermo,79705,6476
2025-07-06,San Pawl,Propulsione,"Propulsione — Ispezione eliche tipo Air Cushion, shaft seal, lubrificazione cuscinetti",Tecnico RCS,98910,1409
2025-07-04,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico esterno certificato,27583,897
2025-07-04,MV Maria Dolores,Raffreddamento,"Raffreddamento — Termostato MTU 11658815, fluido WF2071 Fleetguard, pulizia circuito",Tecnico RCS Luigi Russo,105469,552
2025-07-02,HSC Gozo Express,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubricante + verifica tenute (×4 motori),Tecnico RCS,93620,457
2025-06-29,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS Mario Greco,105392,434
2025-06-28,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS,79562,1001
2025-06-26,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Luigi Russo,79463,526
2025-06-26,MV Jean de La Valette,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Tecnico RCS,79547,2545
2025-06-24,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS,79452,795
2025-06-21,MV Maria Dolores,Motore,"C-Check 2000h — Ispezione valvole, controllo iniettori UIS Bosch 0 414 701 076, regolazione giochi",Tecnico RCS,105194,2039
2025-06-20,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Luigi Russo,79314,489
2025-06-18,MV Saint John Paul II,Iniezione,"D-Check 4000h — Sostituzione iniettori CR Bosch (serie 0 445 120 141), revisione pompa HP, test bench",Cantiere Navale Catania,27256,6621
2025-06-18,MV Maria Dolores,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio + controllo manicotti e guarnizioni (×6 motori),Tecnico RCS,105211,761
2025-06-14,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS,105158,349
2025-06-14,MV Maria Dolores,Motore,"Overhaul 8000h — Revisione completa motore: pistoni CAT/MAHLE, segmenti, bronzine, guarnizioni testa",Cantiere Pozzallo,105065,21699
2025-06-10,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,27097,512
2025-06-10,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Luigi Russo,27117,592
2025-06-10,San Pawl,Motore,"Ispezione 1000h — Ispezione completa: cinghie, manicotti, guarnizioni, valvole, analisi olio",Cantiere Specializzato,98710,758
2025-06-09,San Pawl,Motore,"Top End — Revisione teste cilindro, valvole, guide, ispezione camere combustione MWM",Cantiere Valletta,98713,15051
2025-06-07,MV Jean de La Valette,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,78978,454
2025-06-05,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS,26965,792
2025-06-03,MV Jean de La Valette,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS,78977,876
2025-05-31,MV Jean de La Valette,Motore,"C-Check 2000h — Ispezione teste cilindro, controllo gioco valvole, regolazione iniettori CR Bosch 0 445 120 141",Tecnico RCS,78902,1977
2025-05-29,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS Luigi Russo,26811,516
2025-05-29,MV Maria Dolores,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio + controllo manicotti e guarnizioni (×6 motori),Tecnico RCS Luigi Russo,104878,683
2025-05-28,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS,104854,339
2025-05-26,HSC Gozo Express,Motore,"C-Check 2000h — Ispezione iniettori CR Bosch 0 445 120 059, controllo valvole e distribuzione",Tecnico RCS,93064,1106
2025-05-23,MV Saint John Paul II,Filtrazione,B-Check 1000h — Kit filtri completo + analisi olio lubrificante + controllo tenute e manicotti (×4 motori),Tecnico RCS Luigi Russo,26536,805
2025-05-20,MV Saint John Paul II,Propulsione,"Ispezione Propulsione — Controllo eliche, shaft seal, allineamento alberi, lubrificazione riduttori",Tecnico RCS Luigi Russo,26533,1516
2025-05-19,MV Saint John Paul II,Filtrazione,"A-Check 500h — Sostituzione filtri olio motore, filtri gasolio primario e secondario + ispezione visiva (×4 motori)",Tecnico RCS,26450,461
2025-05-17,MV Maria Dolores,Filtrazione,A-Check 500h — Filtri olio e gasolio MTU Serie 4000 — kit Hifi SN 80097 + SO 4562 (×6 motori),Tecnico RCS Luigi Russo,104673,409
2025-05-16,HSC Gozo Express,Filtrazione,"A-Check 500h — Filtri olio e gasolio MTU 2000 — Hifi SO 4562 + SN 80016, kit da 4 motori (×4 motori)",Tecnico RCS,92975,300
